feeble: ['76.73', '23.12', '0.15']
transference: ['37.82', '0.16', '62.02']
ability: ['0.29', '49.07', '50.64']
holy: ['14.22', '68.19', '17.59']
power: ['47.66', '52.12', '0.22']
destroy: ['80.03', '0.08', '19.89']
killer: ['31.11', '0.36', '68.53']
sinkhole: ['0.00', '0.08', '99.92']
illusion: ['50.73', '34.07', '15.19']
create: ['93.75', '6.18', '0.07']
resurrection: ['21.08', '77.66', '1.27']
hunter: ['61.21', '0.13', '38.66']
gift: ['42.76', '1.53', '55.71']
friends: ['1.22', '73.95', '24.83']
ravenous: ['62.01', '11.85', '26.14']
spell: ['0.53', '85.11', '14.36']
trap(s: ['21.43', '35.60', '42.97']
plague: ['36.55', '12.34', '51.11']
snare: ['21.91', '63.82', '14.27']
heal: ['24.08', '72.68', '3.24']
calm: ['89.42', '5.98', '4.60']
burst: ['48.04', '3.00', '48.95']
storm: ['49.03', '1.21', '49.76']
abound: ['40.80', '5.81', '53.39']
dead: ['11.60', '88.31', '0.08']
teleportation: ['20.40', '55.58', '24.02']
reality: ['0.05', '99.54', '0.40']
monster: ['19.77', '67.72', '12.51']
burning: ['52.86', '45.36', '1.78']
prismatic: ['82.88', '14.59', '2.54']
hand(s: ['21.43', '35.60', '42.97']
sanctuary: ['56.29', '25.79', '17.92']
secret: ['68.64', '21.90', '9.46']
object: ['0.07', '94.60', '5.34']
primal: ['76.36', '23.63', '0.01']
weapon: ['6.24', '43.33', '50.43']
lance: ['11.22', '57.90', '30.87']
tide: ['6.88', '41.66', '51.46']
blank: ['1.65', '4.62', '93.73']
enhance: ['89.64', '10.33', '0.03']
faith: ['13.29', '86.38', '0.32']
emotions: ['0.00', '92.25', '7.75']
glibness: ['2.96', '87.72', '9.32']
dancing: ['52.04', '47.65', '0.31']
shape(s: ['21.43', '35.60', '42.97']
guardian: ['45.97', '19.92', '34.11']
homunculus: ['9.68', '89.00', '1.32']
expeditious: ['83.72', '12.46', '3.82']
elementals: ['0.08', '77.03', '22.90']
cause: ['90.59', '9.41', '0.00']
