apps: ['-818.01', '-927.29', '-0.04']
designation: ['-462.68', '-40.84', '-112.24']
powder: ['-715.17', '-0.33', '-598.95']
activated: ['-1.89', '-485.25', '-452.13']
effects: ['-435.64', '-35.11', '-126.13']
visitors: ['-83.19', '-413.39', '-60.01']
strength: ['-287.56', '-32.38', '-151.30']
place: ['-666.03', '-0.49', '-563.58']
symbols: ['-140.61', '-139.15', '-68.08']
hacker: ['-255.16', '-991.53', '-8.12']
studying: ['-165.81', '-29.05', '-278.74']
beginning: ['-0.24', '-783.23', '-623.57']
readers: ['-0.02', '-902.82', '-991.78']
grateful: ['-163.20', '-24.39', '-386.82']
excitement: ['-600.05', '-0.71', '-537.70']
organize: ['-0.11', '-691.61', '-931.38']
boulder: ['-875.77', '-322.28', '-4.08']
brand: ['-0.00', '-1838.73', '-1349.37']
criticism: ['-655.95', '-98.75', '-46.83']
drinks: ['-160.81', '-69.94', '-119.45']
scanners: ['-18.63', '-393.11', '-189.48']
hd: ['-265.18', '-8.85', '-425.88']
questionnaire: ['-353.94', '-8.29', '-298.48']
basket: ['-80.10', '-495.65', '-60.86']
phones: ['-0.67', '-998.56', '-501.31']
addressed: ['-0.05', '-776.14', '-1019.34']
webcam: ['-19.89', '-218.75', '-268.57']
cab: ['-791.98', '-188.13', '-16.58']
programs: ['-91.05', '-199.73', '-77.22']
collins: ['-52.49', '-113.85', '-242.93']
lodge: ['-104.49', '-234.74', '-59.30']
enabled: ['-471.65', '-642.47', '-1.06']
day: ['-1308.53', '-971.77', '-0.01']
grade: ['-38.59', '-338.54', '-125.07']
crops: ['-481.97', '-215.34', '-13.26']
custom: ['-0.76', '-911.81', '-490.38']
apply: ['-1064.29', '-0.00', '-1236.33']
identical: ['-35.36', '-121.12', '-1377.39']
twist: ['-7.46', '-422.11', '-286.14']
trustee: ['-122.52', '-434.55', '-36.63']
earned: ['-1.08', '-815.18', '-456.52']
indexed: ['-164.33', '-22.89', '-448.56']
completion: ['-66.41', '-124.29', '-162.59']
soft: ['-26.43', '-825.39', '-146.11']
swift: ['-2.48', '-937.64', '-371.39']
conducted: ['-2.74', '-362.55', '-789.59']
updating: ['-21.19', '-166.00', '-713.81']
gift: ['-89.61', '-419.98', '-55.02']
propose: ['-798.43', '-0.04', '-1086.80']
events: ['-1228.79', '-373.30', '-2.42']
thumbnail: ['-351.64', '-187.33', '-20.25']
wonder: ['-768.77', '-0.53', '-532.33']
confused: ['-91.89', '-50.97', '-797.39']
consumers: ['-0.09', '-990.21', '-703.75']
selecting: ['-0.49', '-606.35', '-598.59']
cleaning: ['-1.82', '-524.47', '-435.98']
smtp: ['-634.25', '-206.04', '-13.83']
mean: ['-1278.58', '-0.00', '-1400.93']
transaction: ['-538.59', '-89.73', '-53.15']
objectives: ['-282.77', '-8.76', '-369.92']
dig: ['-554.32', '-5.69', '-296.81']
pcs: ['-3790.63', '-4097.25', '0.00']
productive: ['-0.26', '-623.73', '-734.74']
campaigns: ['-130.26', '-747.72', '-31.80']
moved: ['-107.76', '-41.93', '-617.69']
contains: ['-0.25', '-1233.62', '-597.86']
patches: ['-936.37', '-322.53', '-4.06']
favourites: ['-14.42', '-392.54', '-216.65']
giants: ['-78.58', '-515.08', '-61.91']
compete: ['-243.24', '-23.69', '-209.48']
shorts: ['-1.16', '-657.11', '-459.10']
deputy: ['-50.82', '-222.63', '-123.61']
features: ['-159.44', '-518.11', '-23.40']
layout: ['-201.79', '-20.86', '-289.34']
hay: ['-1900.66', '-6.59', '-275.20']
button: ['-805.29', '-943.37', '-0.04']
excited: ['-44.06', '-103.44', '-700.94']
refresh: ['-2.67', '-418.51', '-450.00']
aquatic: ['-99.88', '-45.99', '-791.39']
stages: ['-893.41', '-1347.59', '-0.01']
penalty: ['-1845.06', '-0.00', '-1469.63']
shit: ['-1184.64', '-0.00', '-1151.74']
integrating: ['-36.61', '-136.53', '-297.12']
package: ['-461.32', '-575.29', '-1.32']
allocation: ['-891.02', '-0.51', '-530.35']
keep: ['-9.50', '-1894.19', '-240.15']
find: ['-0.00', '-1294.82', '-2549.11']
suicide: ['-734.12', '-0.08', '-875.07']
codes: ['-1196.61', '-1550.34', '-0.00']
poker: ['-3.07', '-350.09', '-977.74']
rising: ['-1.88', '-398.24', '-1166.27']
holocaust: ['-410.66', '-196.32', '-17.06']
printer: ['-15.55', '-645.42', '-194.91']
losses: ['-267.93', '-467.86', '-8.11']
division: ['-1.07', '-534.57', '-513.55']
forbes: ['-117.90', '-36.78', '-882.62']
fireplace: ['-376.48', '-65.90', '-77.77']
faces: ['-712.96', '-164.24', '-21.61']
tomatoes: ['-174.55', '-30.17', '-245.46']
rail: ['-548.51', '-1.23', '-481.94']
evil: ['-298.91', '-5.23', '-736.74']
organized: ['-0.00', '-1076.85', '-1223.03']
processed: ['-715.42', '-0.19', '-681.16']
awful: ['-445.06', '-1.27', '-696.15']
previews: ['-282.21', '-7.73', '-420.46']
extensive: ['-1.23', '-440.81', '-1115.05']
inputs: ['-631.70', '-210.24', '-13.24']
student: ['-509.85', '-300.01', '-5.75']
cruz: ['-23.54', '-198.76', '-262.10']
freight: ['-2.45', '-372.94', '-870.65']
revenge: ['-68.06', '-88.08', '-253.58']
rubber: ['-177.13', '-78.75', '-98.11']
ministries: ['-68.00', '-300.91', '-81.18']
cumulative: ['-137.82', '-29.14', '-718.58']
assure: ['-81.93', '-58.63', '-586.22']
congressional: ['-489.78', '-10.01', '-243.29']
restriction: ['-1088.87', '-0.05', '-771.79']
consultant: ['-17.80', '-455.72', '-188.02']
news: ['-1955.83', '-0.00', '-1767.07']
endangered: ['-48.86', '-111.16', '-285.65']
tonight: ['-509.02', '-0.76', '-656.54']
revelation: ['-548.94', '-152.64', '-25.03']
advance: ['-366.26', '-2.67', '-723.23']
http: ['-849.16', '-472.99', '-0.91']
measures: ['-1584.44', '-0.02', '-872.92']
suffering: ['-303.55', '-316.89', '-9.44']
condo: ['-1.32', '-445.92', '-646.96']
precise: ['-311.16', '-4.56', '-1113.11']
audit: ['-484.40', '-0.81', '-853.01']
static: ['-446.94', '-1.16', '-956.56']
logged: ['-45.44', '-230.51', '-132.63']
turkish: ['-363.07', '-596.69', '-2.95']
paths: ['-532.09', '-433.96', '-1.81']
sheets: ['-109.18', '-723.76', '-41.00']
transmitted: ['-4.95', '-434.52', '-334.44']
feature: ['-7.93', '-668.13', '-259.06']
fundraising: ['-28.60', '-397.65', '-146.97']
steering: ['-23.28', '-166.44', '-399.62']
observations: ['-574.26', '-3.71', '-340.59']
clicking: ['-0.05', '-1031.99', '-757.91']
response: ['-0.29', '-718.57', '-613.43']
doctrine: ['-369.47', '-2.64', '-669.38']
wonderful: ['-1.35', '-466.73', '-550.75']
ancient: ['-8.86', '-252.53', '-534.04']
doubt: ['-0.58', '-517.05', '-978.85']
gardening: ['-11.91', '-253.09', '-342.10']
arrangements: ['-12.06', '-414.45', '-232.48']
restaurants: ['-122.15', '-543.07', '-35.55']
lock: ['-982.37', '-567.01', '-0.35']
clocks: ['-2.08', '-899.12', '-388.92']
tube: ['-521.23', '-411.17', '-2.21']
vegetable: ['-79.09', '-60.84', '-606.68']
testing: ['-1074.53', '-0.04', '-796.20']
type: ['-7.56', '-457.11', '-277.32']
acknowledge: ['-263.70', '-24.19', '-194.28']
villa: ['-101.57', '-683.31', '-45.13']
broadcast: ['-624.11', '-0.93', '-491.83']
flows: ['-127.39', '-382.46', '-35.89']
folders: ['-43.93', '-391.70', '-109.18']
creek: ['-1348.79', '-348.10', '-3.13']
asbestos: ['-13.73', '-205.52', '-832.62']
regards: ['-0.02', '-871.90', '-1082.46']
error: ['-2362.86', '-0.00', '-1390.74']
pubs: ['-1626.38', '-395.58', '-1.93']
statement: ['-786.65', '-0.33', '-584.41']
worship: ['-134.10', '-31.52', '-474.07']
invention: ['-2.87', '-357.31', '-829.43']
genesis: ['-706.85', '-0.17', '-705.26']
defeat: ['-802.62', '-570.97', '-0.36']
quantity: ['-175.02', '-19.19', '-701.38']
thread: ['-56.83', '-86.19', '-449.79']
trivia: ['-139.34', '-29.57', '-485.97']
balloon: ['-493.12', '-66.59', '-73.61']
absent: ['-9.67', '-238.40', '-1049.52']
lance: ['-220.88', '-62.85', '-103.06']
light: ['-339.65', '-3.63', '-616.06']
