smite: ['48.92', '29.56', '21.52']
legend: ['7.82', '74.82', '17.36']
pulse: ['8.07', '0.34', '91.59']
clairvoyance: ['11.58', '61.27', '27.15']
telepathic: ['42.33', '56.11', '1.57']
temporal: ['83.01', '16.89', '0.11']
hunter: ['80.87', '0.03', '19.09']
wrathful: ['87.71', '12.25', '0.04']
feeble: ['88.69', '11.29', '0.02']
hope: ['2.61', '97.39', '0.00']
metal: ['33.34', '66.62', '0.04']
disguise: ['36.53', '10.47', '53.01']
contingency: ['60.72', '38.30', '0.98']
blinding: ['90.79', '6.56', '2.65']
infestation: ['0.89', '38.49', '60.62']
disintigrate: ['19.07', '33.67', '47.25']
stinking: ['83.56', '4.13', '12.31']
cone: ['81.97', '0.39', '17.64']
summons: ['36.84', '26.94', '36.21']
beast: ['5.37', '93.06', '1.57']
enervation: ['19.07', '33.67', '47.25']
holy: ['9.53', '77.76', '12.71']
antilife: ['19.07', '33.67', '47.25']
call: ['97.26', '0.03', '2.71']
devil: ['21.94', '18.18', '59.89']
lightning: ['4.29', '83.19', '12.52']
horrid: ['88.73', '10.53', '0.74']
guards: ['1.85', '10.25', '87.90']
enthrall: ['38.27', '8.85', '52.88']
freezing: ['83.23', '13.97', '2.79']
silent: ['99.99', '0.00', '0.01']
compulsion: ['10.98', '53.34', '35.68']
giant: ['91.76', '0.46', '7.78']
immolation: ['0.14', '97.77', '2.08']
flame(s: ['19.07', '33.67', '47.25']
spike(s: ['19.07', '33.67', '47.25']
dagger(s: ['19.07', '33.67', '47.25']
sacred: ['92.90', '0.78', '6.31']
wilting: ['3.37', '91.02', '5.61']
flame: ['0.10', '98.47', '1.43']
object: ['0.01', '99.32', '0.67']
ceremony: ['0.03', '99.93', '0.04']
objects: ['0.03', '98.38', '1.59']
rebuke: ['53.62', '1.40', '44.98']
dust: ['14.18', '85.78', '0.04']
hound: ['0.03', '99.97', '0.00']
reality: ['0.00', '99.99', '0.01']
slow: ['15.81', '80.40', '3.79']
quiver: ['0.49', '3.96', '95.55']
irresistable: ['58.58', '8.27', '33.16']
tidal: ['92.11', '3.23', '4.65']
conjure: ['93.52', '5.14', '1.35']
