booming: ['-11.15', '-523.14', '-230.09']
chest: ['-671.21', '-1075.80', '-0.12']
bestow: ['-26.91', '-144.58', '-787.54']
inflict: ['-8.96', '-245.81', '-889.24']
teleportation: ['-160.14', '-66.94', '-125.05']
gas: ['-1445.25', '-5.43', '-294.07']
burning: ['-68.92', '-76.49', '-342.14']
planar: ['-239.11', '-10.23', '-516.49']
deafness: ['-756.57', '-0.19', '-658.39']
mending: ['-123.55', '-35.47', '-483.74']
insect: ['-186.80', '-16.91', '-679.45']
ravage: ['-108.70', '-211.98', '-61.11']
shield: ['-78.57', '-185.07', '-94.91']
scream: ['-274.09', '-180.72', '-25.96']
evil: ['-298.91', '-5.23', '-736.74']
mockery: ['-1083.14', '-8.62', '-249.39']
elemental: ['-529.67', '-15.18', '-199.61']
gaseous: ['-15.67', '-223.27', '-327.64']
chill: ['-524.42', '-28.02', '-143.09']
conjure: ['-6.70', '-296.90', '-430.78']
color: ['-975.91', '-19.60', '-172.64']
calm: ['-1.42', '-499.42', '-491.66']
telekinesis: ['-85.97', '-57.79', '-415.57']
shroud: ['-285.61', '-517.00', '-6.53']
transformation: ['-419.81', '-124.85', '-35.95']
contagion: ['-36.48', '-122.34', '-446.91']
disaster: ['-419.73', '-24.38', '-160.27']
suggestion: ['-109.40', '-41.44', '-543.11']
climbing: ['-453.86', '-36.65', '-121.70']
value: ['-356.02', '-3.06', '-639.08']
plane: ['-1277.05', '-0.05', '-764.96']
freedom: ['-196.27', '-38.27', '-172.86']
primordial: ['-32.71', '-158.14', '-261.32']
protection: ['-87.26', '-241.09', '-70.84']
mold: ['-28.36', '-299.46', '-162.51']
vicious: ['-1.07', '-487.20', '-582.58']
daylight: ['-557.25', '-0.89', '-529.33']
cause: ['-1.91', '-396.99', '-1470.80']
step: ['-1157.81', '-1414.09', '-0.00']
misleading: ['-16.06', '-190.88', '-917.53']
creature: ['-342.94', '-3.45', '-646.93']
retreat: ['-118.02', '-361.04', '-40.69']
spider: ['-9.00', '-251.44', '-527.32']
shape: ['-41.36', '-191.76', '-165.12']
withering: ['-180.52', '-34.69', '-205.06']
shape(s: ['-165.70', '-108.84', '-74.96']
demon: ['-377.91', '-6.79', '-315.17']
messenger: ['-112.59', '-213.83', '-58.38']
feeble: ['-12.00', '-218.12', '-863.74']
invisibility: ['-279.97', '-32.17', '-154.07']
gust: ['-365.54', '-116.60', '-41.17']
lingering: ['-33.44', '-144.11', '-304.52']
reduce: ['-0.61', '-510.90', '-1640.40']
scattering: ['-265.67', '-10.79', '-343.89']
maddening: ['-31.98', '-134.29', '-437.26']
health: ['-2028.57', '-0.00', '-1071.08']
synaptic: ['-3.16', '-512.94', '-368.24']
arrow: ['-314.94', '-370.35', '-6.99']
ball: ['-1336.16', '-99.96', '-45.89']
hold: ['-12.71', '-292.64', '-272.17']
see: ['-4.89', '-311.74', '-566.55']
savagery: ['-57.23', '-222.38', '-111.60']
vitality: ['-177.64', '-71.72', '-107.11']
incendiary: ['-1.24', '-500.00', '-518.07']
magnificent: ['-1.57', '-726.16', '-420.88']
blooming: ['-439.72', '-12.50', '-225.22']
stone: ['-1022.48', '-78.37', '-61.02']
detect: ['-2.92', '-355.14', '-899.74']
purity: ['-428.64', '-2.24', '-478.13']
antilife: ['-165.70', '-108.84', '-74.96']
horrid: ['-11.95', '-225.09', '-491.03']
burst: ['-74.75', '-399.91', '-67.71']
dancing: ['-45.05', '-101.92', '-631.68']
sphere: ['-184.71', '-715.37', '-17.25']
hypnotic: ['-64.77', '-74.23', '-725.28']
jump: ['-441.51', '-321.37', '-5.37']
essence: ['-175.22', '-30.92', '-238.01']
dawn: ['-427.85', '-19.03', '-183.61']
