zend: ['19.07', '33.67', '47.25']
snuggle: ['96.20', '0.05', '3.75']
splice: ['24.21', '4.79', '71.00']
unrelenting: ['99.85', '0.03', '0.12']
gravid: ['0.00', '99.96', '0.04']
burglary: ['0.48', '8.44', '91.08']
notation: ['0.56', '24.82', '74.62']
supper: ['5.98', '84.03', '9.98']
jesuit: ['23.96', '72.90', '3.13']
management: ['13.80', '47.64', '38.56']
experiment: ['0.19', '99.48', '0.33']
daffodil: ['0.19', '68.39', '31.43']
sheet: ['85.98', '0.13', '13.90']
pyramidic: ['19.07', '33.67', '47.25']
herbal: ['0.05', '99.88', '0.08']
victual: ['19.07', '33.67', '47.25']
yachter: ['19.07', '33.67', '47.25']
arrow: ['4.29', '2.46', '93.25']
monotone: ['0.99', '0.00', '99.01']
unexpurgated: ['99.08', '0.16', '0.76']
schooner: ['99.22', '0.41', '0.36']
irresponsible: ['97.01', '2.86', '0.12']
untoasted: ['8.29', '89.79', '1.92']
suave: ['99.03', '0.95', '0.02']
admired: ['99.59', '0.16', '0.25']
genius: ['51.77', '47.37', '0.86']
inflow: ['0.15', '96.62', '3.23']
hydroponic: ['0.28', '83.24', '16.48']
interrogator: ['0.02', '93.40', '6.58']
perpetrate: ['17.27', '82.20', '0.53']
chum: ['0.38', '99.42', '0.20']
recognisable: ['94.25', '0.58', '5.17']
unrecoverable: ['89.72', '3.27', '7.01']
pteridological: ['19.07', '33.67', '47.25']
shivery: ['54.72', '0.56', '44.71']
gilled: ['0.88', '0.93', '98.20']
plummy: ['15.05', '82.82', '2.13']
celebrated: ['77.48', '0.66', '21.87']
platoon: ['1.25', '4.59', '94.16']
terrestrial: ['46.03', '53.89', '0.08']
injunction: ['13.22', '74.74', '12.03']
widower: ['0.01', '97.79', '2.20']
chowder: ['93.19', '6.36', '0.45']
lighten: ['3.35', '96.44', '0.21']
advisable: ['7.28', '89.20', '3.52']
trusty: ['28.50', '51.89', '19.61']
tidy: ['99.99', '0.01', '0.00']
recusant: ['51.69', '11.03', '37.28']
distraction: ['10.98', '53.34', '35.68']
pitiable: ['33.11', '66.69', '0.20']
foldable: ['98.94', '0.30', '0.76']
salient: ['16.12', '83.87', '0.01']
bogeymen: ['4.99', '16.03', '78.97']
plucky: ['47.04', '52.09', '0.87']
eupnoeic: ['19.07', '33.67', '47.25']
unstrained: ['34.60', '9.88', '55.52']
corporal: ['36.63', '1.61', '61.76']
seductive: ['99.01', '0.48', '0.52']
overcharge: ['45.68', '45.46', '8.86']
intromit: ['19.07', '33.67', '47.25']
stimulating: ['99.74', '0.13', '0.14']
punctilious: ['11.55', '88.41', '0.04']
ungeared: ['19.07', '33.67', '47.25']
galaxy: ['74.99', '19.51', '5.50']
rueful: ['84.22', '15.72', '0.06']
bounteous: ['87.71', '12.25', '0.04']
couthie: ['19.07', '33.67', '47.25']
quiddle: ['19.07', '33.67', '47.25']
transparent: ['96.90', '0.82', '2.28']
fundamentalism: ['0.12', '99.76', '0.12']
shorthand: ['46.66', '50.86', '2.47']
visionary: ['0.22', '74.67', '25.11']
revolting: ['0.22', '93.87', '5.91']
eutherian: ['2.86', '6.39', '90.75']
taxicab: ['6.10', '4.74', '89.16']
lend: ['1.81', '0.06', '98.13']
cortex: ['99.20', '0.05', '0.75']
gutsy: ['50.93', '28.56', '20.51']
overrate: ['43.85', '55.79', '0.36']
ramification: ['0.33', '19.41', '80.26']
unnaturalized: ['19.07', '33.67', '47.25']
rightful: ['87.71', '12.25', '0.04']
struggle: ['0.07', '0.73', '99.20']
vanity: ['70.08', '23.61', '6.31']
cathectic: ['19.07', '33.67', '47.25']
challenging: ['47.04', '35.09', '17.88']
immaterial: ['0.05', '99.92', '0.03']
clapper: ['14.21', '83.07', '2.72']
scuffle: ['0.00', '0.79', '99.21']
centerline: ['77.87', '0.00', '22.13']
peril: ['0.47', '98.83', '0.70']
enteric: ['0.01', '0.00', '99.99']
ear: ['6.29', '0.00', '93.71']
translucence: ['90.79', '6.56', '2.65']
bilobate: ['19.07', '33.67', '47.25']
stoic: ['21.42', '77.74', '0.84']
fashion: ['73.08', '1.74', '25.17']
smile: ['0.00', '99.36', '0.64']
halting: ['2.72', '5.76', '91.53']
indicative: ['97.12', '2.87', '0.00']
candidate: ['1.09', '96.31', '2.60']
blizzard: ['45.58', '2.01', '52.41']
dissolution: ['0.02', '98.57', '1.41']
adopt: ['0.00', '99.49', '0.51']
complaisance: ['0.21', '99.35', '0.44']
bionomic: ['19.07', '33.67', '47.25']
quit: ['0.02', '0.05', '99.93']
drained: ['99.55', '0.07', '0.38']
chump: ['22.11', '55.11', '22.77']
modest: ['3.29', '96.71', '0.00']
sonata: ['96.42', '0.00', '3.58']
parliamentary: ['2.33', '55.79', '41.89']
monotypic: ['91.38', '4.98', '3.64']
transferral: ['61.94', '9.98', '28.08']
obligate: ['80.42', '5.44', '14.14']
distrait: ['19.07', '33.67', '47.25']
month: ['0.07', '0.00', '99.93']
lived: ['0.34', '88.67', '10.99']
companion: ['94.73', '3.94', '1.33']
disregard: ['1.14', '73.70', '25.16']
brother: ['0.14', '99.85', '0.01']
dance: ['24.18', '75.81', '0.01']
clearance: ['2.05', '87.29', '10.65']
spayed: ['4.19', '95.57', '0.24']
crescendo: ['88.14', '1.60', '10.26']
omnivorous: ['94.17', '5.59', '0.24']
waterborne: ['23.99', '29.95', '46.06']
seventh: ['94.04', '0.00', '5.96']
preservable: ['19.07', '33.67', '47.25']
zoccolo: ['19.07', '33.67', '47.25']
shutdown: ['0.01', '2.09', '97.90']
whistle: ['98.03', '1.23', '0.74']
unvindictive: ['19.07', '33.67', '47.25']
clink: ['100.00', '0.00', '0.00']
pericardial: ['88.90', '2.26', '8.84']
perigonal: ['19.07', '33.67', '47.25']
roadless: ['0.09', '0.56', '99.35']
curly: ['0.02', '99.70', '0.27']
inborn: ['0.00', '0.01', '99.99']
pollyannaish: ['19.07', '33.67', '47.25']
immeasurable: ['10.59', '89.40', '0.00']
acrimonious: ['1.09', '93.95', '4.96']
mudguard: ['13.22', '85.19', '1.59']
facetious: ['99.68', '0.15', '0.16']
estranged: ['85.72', '12.01', '2.27']
greed: ['36.72', '61.72', '1.56']
frustration: ['0.05', '92.25', '7.70']
mellisonant: ['19.07', '33.67', '47.25']
conductivity: ['0.43', '93.56', '6.00']
market: ['99.49', '0.07', '0.44']
numericalize: ['19.07', '33.67', '47.25']
motivate: ['99.98', '0.02', '0.00']
archaeology: ['86.67', '0.36', '12.98']
predatory: ['97.36', '0.83', '1.81']
tangy: ['4.29', '95.71', '0.00']
survive: ['98.38', '0.01', '1.62']
detestable: ['19.35', '79.40', '1.24']
escapism: ['96.71', '0.02', '3.27']
perfectability: ['19.07', '33.67', '47.25']
editorial: ['98.76', '1.20', '0.04']
swaybacked: ['19.07', '33.67', '47.25']
purplish: ['32.62', '66.63', '0.75']
unbarreled: ['19.07', '33.67', '47.25']
eligibility: ['0.00', '99.85', '0.15']
whelp: ['0.82', '99.03', '0.14']
endogenous: ['64.27', '35.70', '0.03']
baroque: ['85.34', '0.30', '14.37']
wreckage: ['65.34', '33.51', '1.15']
daughterly: ['19.07', '33.67', '47.25']
superpatriotic: ['19.07', '33.67', '47.25']
misbegot: ['19.07', '33.67', '47.25']
manufacture: ['99.10', '0.89', '0.01']
mine: ['1.09', '98.91', '0.00']
penetrable: ['82.75', '1.54', '15.71']
authentication: ['0.03', '0.28', '99.69']
suffering: ['4.81', '4.21', '90.99']
tough: ['2.10', '96.96', '0.95']
trotter: ['0.04', '96.32', '3.64']
civility: ['17.24', '58.49', '24.27']
petrify: ['64.34', '27.63', '8.03']
brumous: ['19.07', '33.67', '47.25']
eyed: ['2.54', '0.99', '96.46']
squeal: ['90.50', '1.95', '7.54']
purified: ['96.94', '1.86', '1.20']
educator: ['2.31', '1.33', '96.36']
meeting: ['0.04', '99.95', '0.00']
camouflage: ['30.48', '34.32', '35.21']
lexical: ['41.19', '53.97', '4.85']
menstruation: ['0.19', '56.50', '43.32']
radiography: ['53.55', '22.97', '23.48']
unction: ['51.50', '42.33', '6.17']
gasified: ['99.97', '0.01', '0.02']
primary: ['97.37', '0.64', '1.99']
unpitying: ['19.07', '33.67', '47.25']
