computed: ['13.45', '86.55', '0.00']
kidney: ['1.96', '4.07', '93.97']
bachelor: ['0.28', '95.51', '4.21']
pound: ['0.84', '2.01', '97.15']
ranks: ['0.39', '0.38', '99.22']
critics: ['78.63', '10.68', '10.70']
innovation: ['3.14', '4.17', '92.69']
musician: ['11.80', '67.12', '21.08']
discs: ['99.06', '0.50', '0.43']
rejected: ['62.23', '28.61', '9.17']
bulletin: ['97.37', '1.42', '1.20']
friendship: ['9.34', '56.65', '34.01']
textiles: ['89.79', '0.17', '10.04']
needs: ['0.04', '4.06', '95.91']
reflected: ['99.79', '0.19', '0.01']
induced: ['99.96', '0.01', '0.04']
female: ['12.72', '17.49', '69.79']
tuning: ['18.99', '80.10', '0.92']
moms: ['98.57', '0.12', '1.31']
track: ['99.95', '0.05', '0.00']
realty: ['99.90', '0.07', '0.03']
title: ['99.24', '0.00', '0.76']
fetish: ['99.97', '0.03', '0.01']
runs: ['0.00', '0.00', '100.00']
mature: ['5.61', '94.16', '0.23']
attraction: ['2.35', '63.85', '33.80']
heading: ['97.98', '2.01', '0.02']
reflect: ['57.85', '42.12', '0.03']
alloy: ['22.01', '76.16', '1.83']
delicious: ['99.39', '0.27', '0.34']
wash: ['95.06', '0.00', '4.94']
elderly: ['0.09', '73.44', '26.47']
homes: ['20.64', '0.00', '79.36']
electronic: ['90.16', '9.41', '0.42']
majority: ['98.88', '0.58', '0.54']
flexible: ['98.84', '0.39', '0.76']
colored: ['71.62', '7.10', '21.28']
airfare: ['2.73', '0.94', '96.33']
girlfriend: ['0.18', '98.57', '1.26']
indexed: ['19.33', '79.54', '1.13']
loads: ['2.72', '94.95', '2.32']
capital: ['46.70', '35.87', '17.43']
helmet: ['1.73', '17.80', '80.47']
ceremony: ['0.03', '99.93', '0.04']
fluid: ['0.50', '98.22', '1.28']
drop: ['24.57', '9.37', '66.06']
pray: ['0.10', '99.43', '0.47']
relations: ['0.01', '86.80', '13.19']
keyboard: ['19.60', '0.75', '79.65']
mayor: ['98.74', '0.13', '1.12']
silicon: ['70.89', '4.23', '24.88']
consider: ['66.65', '30.14', '3.21']
impressive: ['97.70', '2.25', '0.05']
space: ['15.39', '2.57', '82.04']
bring: ['99.97', '0.03', '0.00']
chorus: ['99.34', '0.02', '0.64']
inappropriate: ['0.84', '99.10', '0.06']
weblogs: ['99.39', '0.61', '0.00']
achieved: ['99.62', '0.07', '0.31']
exchanges: ['57.03', '3.20', '39.77']
rolls: ['0.80', '14.28', '84.92']
famous: ['98.48', '0.13', '1.39']
claimed: ['95.91', '0.52', '3.58']
artistic: ['79.58', '12.05', '8.37']
caroline: ['68.06', '15.23', '16.71']
vote: ['0.00', '99.97', '0.03']
prohibited: ['42.32', '57.25', '0.43']
occupation: ['0.97', '44.35', '54.68']
editor: ['97.30', '0.00', '2.69']
dj: ['18.04', '81.96', '0.00']
leasing: ['99.99', '0.01', '0.00']
reproductive: ['94.38', '5.00', '0.62']
losing: ['3.14', '96.17', '0.70']
inspired: ['100.00', '0.00', '0.00']
inf: ['0.00', '100.00', '0.00']
illustrated: ['99.79', '0.02', '0.19']
windows: ['0.09', '0.13', '99.78']
heard: ['100.00', '0.00', '0.00']
belize: ['26.49', '71.45', '2.05']
lid: ['8.44', '0.52', '91.05']
approval: ['0.17', '90.54', '9.28']
liability: ['0.47', '99.53', '0.00']
corrections: ['2.29', '96.96', '0.74']
collaborative: ['99.81', '0.02', '0.16']
videos: ['81.19', '18.73', '0.07']
definition: ['73.95', '25.51', '0.54']
drug: ['0.00', '100.00', '0.00']
reno: ['95.50', '4.35', '0.15']
mills: ['13.20', '1.68', '85.12']
lazy: ['24.81', '73.96', '1.24']
effectiveness: ['0.06', '99.80', '0.14']
webcams: ['81.96', '11.22', '6.82']
stress: ['11.67', '81.31', '7.02']
bridal: ['57.02', '4.15', '38.83']
basement: ['0.47', '89.51', '10.02']
leave: ['84.21', '6.11', '9.68']
tree: ['0.00', '86.18', '13.82']
fragrances: ['84.16', '14.93', '0.91']
sealed: ['99.30', '0.20', '0.50']
stones: ['0.01', '10.94', '89.05']
love: ['1.74', '98.10', '0.15']
scene: ['0.04', '15.31', '84.66']
variance: ['0.00', '100.00', '0.00']
began: ['3.20', '0.00', '96.80']
testament: ['34.25', '64.87', '0.88']
company: ['99.99', '0.00', '0.00']
enhancement: ['0.10', '99.71', '0.19']
phenomenon: ['21.25', '71.19', '7.57']
tracking: ['97.95', '0.85', '1.20']
said: ['5.41', '0.00', '94.59']
donated: ['99.98', '0.01', '0.01']
anime: ['1.93', '98.00', '0.08']
abstract: ['78.64', '21.30', '0.06']
representing: ['82.27', '4.50', '13.23']
rod: ['90.39', '9.53', '0.08']
concluded: ['100.00', '0.00', '0.00']
hughes: ['7.05', '92.77', '0.18']
makes: ['99.62', '0.00', '0.38']
voted: ['0.46', '99.53', '0.01']
provisions: ['0.02', '99.72', '0.26']
serves: ['0.06', '0.01', '99.92']
bdsm: ['99.08', '0.53', '0.39']
introducing: ['97.82', '2.13', '0.05']
gathering: ['61.33', '34.54', '4.13']
counsel: ['67.96', '3.29', '28.75']
specs: ['54.13', '45.87', '0.00']
telescope: ['0.66', '0.61', '98.73']
removing: ['92.52', '7.37', '0.11']
traditional: ['28.13', '61.08', '10.80']
way: ['91.95', '7.31', '0.73']
milk: ['0.01', '99.33', '0.66']
fund: ['99.88', '0.01', '0.11']
inserted: ['98.07', '0.18', '1.75']
roller: ['0.01', '92.20', '7.79']
preview: ['5.95', '92.56', '1.49']
thought: ['0.03', '99.97', '0.00']
summer: ['94.39', '0.18', '5.43']
specified: ['3.13', '96.85', '0.02']
express: ['98.20', '1.79', '0.01']
pursue: ['97.10', '1.39', '1.51']
remained: ['96.45', '0.00', '3.55']
notion: ['0.01', '99.71', '0.28']
place: ['0.13', '99.52', '0.36']
annoying: ['20.15', '79.68', '0.17']
start: ['97.89', '0.09', '2.01']
flag: ['0.00', '99.91', '0.09']
jail: ['0.28', '77.04', '22.68']
rotation: ['0.00', '95.40', '4.60']
ban: ['0.00', '99.97', '0.03']
spas: ['88.24', '0.75', '11.01']
debt: ['100.00', '0.00', '0.00']
incomplete: ['87.87', '12.12', '0.02']
engineering: ['3.00', '97.00', '0.00']
gateway: ['8.05', '0.01', '91.94']
retention: ['14.34', '65.12', '20.54']
package: ['0.99', '0.32', '98.69']
recreational: ['2.64', '81.45', '15.92']
boating: ['92.45', '6.45', '1.11']
assurance: ['72.19', '27.80', '0.01']
tariff: ['60.17', '31.91', '7.93']
laid: ['0.06', '99.25', '0.68']
titled: ['100.00', '0.00', '0.00']
kw: ['100.00', '0.00', '0.00']
powers: ['9.96', '80.35', '9.69']
titans: ['45.58', '0.58', '53.85']
entrepreneur: ['31.31', '0.50', '68.19']
bolt: ['0.30', '14.64', '85.05']
accredited: ['99.94', '0.01', '0.05']
soccer: ['0.00', '91.23', '8.76']
fwd: ['99.99', '0.01', '0.00']
tutorials: ['70.13', '29.75', '0.13']
month: ['0.07', '0.00', '99.93']
stand: ['0.03', '89.41', '10.56']
generous: ['16.55', '83.43', '0.02']
integrity: ['2.58', '92.13', '5.28']
percent: ['0.10', '0.00', '99.90']
sheets: ['33.56', '0.07', '66.37']
sponsor: ['79.56', '1.55', '18.89']
passed: ['0.51', '96.58', '2.90']
play: ['0.00', '7.03', '92.96']
blessed: ['99.61', '0.25', '0.14']
rain: ['0.00', '93.07', '6.93']
hundreds: ['98.65', '1.35', '0.00']
police: ['0.23', '99.67', '0.10']
essentials: ['96.56', '1.85', '1.59']
sie: ['0.03', '10.43', '89.54']
embassy: ['6.50', '2.35', '91.15']
developmental: ['0.92', '75.44', '23.64']
depot: ['7.14', '92.50', '0.36']
falling: ['1.04', '98.91', '0.05']
intellectual: ['26.27', '55.79', '17.93']
touched: ['75.53', '4.35', '20.12']
neighbors: ['74.49', '6.84', '18.68']
survivors: ['97.88', '0.00', '2.12']
diamonds: ['0.03', '0.02', '99.95']
usage: ['18.42', '37.34', '44.24']
eliminate: ['97.78', '2.21', '0.01']
alt: ['74.89', '25.11', '0.00']
basics: ['98.98', '1.02', '0.00']
professional: ['23.54', '11.20', '65.26']
sodium: ['92.24', '7.25', '0.51']
poet: ['3.01', '20.15', '76.84']
webshots: ['19.07', '33.67', '47.25']
structural: ['1.31', '98.52', '0.17']
incidence: ['2.95', '46.98', '50.08']
gasoline: ['65.92', '33.73', '0.35']
weapon: ['3.53', '41.05', '55.42']
conversations: ['23.04', '14.21', '62.75']
breeds: ['0.28', '98.04', '1.68']
advertisers: ['53.57', '39.05', '7.38']
stating: ['21.97', '54.54', '23.49']
bondage: ['99.97', '0.03', '0.01']
pond: ['0.53', '92.93', '6.54']
jacket: ['1.33', '0.07', '98.60']
exist: ['0.01', '99.99', '0.00']
butt: ['3.11', '96.02', '0.87']
compromise: ['70.64', '9.81', '19.55']
neighborhood: ['8.45', '2.60', '88.95']
pulse: ['8.07', '0.34', '91.59']
stayed: ['0.06', '40.84', '59.11']
miss: ['0.23', '70.84', '28.93']
rescue: ['33.64', '49.54', '16.82']
midi: ['0.59', '11.63', '87.78']
exams: ['0.40', '0.77', '98.82']
petite: ['16.07', '53.29', '30.64']
constraints: ['0.02', '96.19', '3.78']
escape: ['96.71', '0.02', '3.27']
excitement: ['0.25', '99.29', '0.46']
economics: ['0.05', '99.56', '0.39']
joins: ['0.08', '22.25', '77.67']
diseases: ['0.00', '99.85', '0.15']
settings: ['0.00', '0.07', '99.92']
highlights: ['99.35', '0.31', '0.35']
cause: ['98.11', '1.89', '0.00']
mathematics: ['2.76', '96.87', '0.37']
welding: ['4.77', '95.08', '0.15']
quizzes: ['24.82', '74.40', '0.78']
issued: ['1.16', '97.35', '1.49']
sentences: ['6.06', '69.07', '24.87']
synthesis: ['98.72', '0.71', '0.58']
cakes: ['12.08', '23.86', '64.06']
magnitude: ['0.46', '16.79', '82.75']
weird: ['6.92', '93.06', '0.02']
visited: ['12.40', '80.49', '7.11']
illustrations: ['21.01', '14.14', '64.85']
fraction: ['0.01', '99.95', '0.05']
middle: ['0.56', '0.02', '99.42']
subscriber: ['99.84', '0.01', '0.15']
licensed: ['97.76', '0.85', '1.39']
loop: ['0.06', '0.00', '99.94']
bike: ['0.04', '99.96', '0.00']
thoughts: ['34.49', '65.51', '0.00']
stated: ['99.40', '0.47', '0.13']
tanks: ['95.77', '0.01', '4.22']
trap: ['94.28', '0.05', '5.68']
pike: ['0.75', '14.69', '84.55']
emissions: ['50.66', '49.22', '0.13']
encourages: ['58.79', '8.31', '32.91']
sustainability: ['96.08', '2.31', '1.62']
adolescent: ['34.77', '25.64', '39.59']
incorrect: ['3.07', '96.93', '0.00']
able: ['0.00', '1.96', '98.03']
carry: ['99.99', '0.01', '0.00']
covers: ['99.71', '0.05', '0.23']
plugins: ['67.41', '20.91', '11.68']
returning: ['81.30', '15.93', '2.77']
moments: ['0.00', '16.66', '83.34']
blue: ['6.68', '83.64', '9.68']
slim: ['73.95', '22.47', '3.57']
valium: ['11.13', '87.98', '0.89']
acrylic: ['42.30', '1.93', '55.77']
horizon: ['29.70', '44.81', '25.49']
buzz: ['99.61', '0.29', '0.10']
reduction: ['39.54', '56.47', '3.99']
connected: ['100.00', '0.00', '0.00']
fact: ['0.04', '99.96', '0.00']
warming: ['46.68', '49.34', '3.97']
consult: ['90.39', '4.99', '4.62']
stranger: ['11.03', '57.17', '31.80']
screw: ['0.85', '94.24', '4.92']
cooler: ['95.23', '3.72', '1.05']
integrated: ['97.47', '0.77', '1.76']
softball: ['0.01', '37.72', '62.26']
survivor: ['85.99', '0.00', '14.01']
brandon: ['100.00', '0.00', '0.00']
greetings: ['4.13', '93.23', '2.64']
totals: ['58.90', '40.38', '0.72']
enjoy: ['0.21', '0.00', '99.79']
desktop: ['0.48', '0.90', '98.63']
see: ['95.23', '4.43', '0.35']
fatal: ['99.72', '0.14', '0.14']
close: ['0.00', '100.00', '0.00']
drives: ['30.64', '30.67', '38.70']
pdt: ['0.00', '100.00', '0.00']
stage: ['0.05', '0.04', '99.90']
surveys: ['95.49', '3.11', '1.40']
termination: ['0.18', '35.23', '64.60']
expenditure: ['18.49', '81.50', '0.01']
ultimate: ['99.05', '0.66', '0.29']
loud: ['93.12', '6.12', '0.75']
rentals: ['99.96', '0.00', '0.04']
attempts: ['0.00', '0.03', '99.97']
assign: ['99.53', '0.46', '0.01']
failures: ['0.03', '87.71', '12.26']
companion: ['94.73', '3.94', '1.33']
employed: ['43.28', '52.14', '4.58']
fool: ['5.83', '77.00', '17.17']
newsletter: ['99.94', '0.05', '0.02']
serum: ['0.40', '8.26', '91.34']
remarks: ['27.82', '69.53', '2.65']
elevation: ['0.00', '99.76', '0.23']
biodiversity: ['0.66', '96.17', '3.17']
loops: ['2.10', '0.04', '97.85']
luxury: ['99.89', '0.00', '0.11']
dining: ['1.77', '0.04', '98.19']
intimate: ['20.27', '74.32', '5.41']
obvious: ['85.73', '14.26', '0.01']
keyboards: ['71.64', '2.69', '25.67']
engaging: ['88.94', '1.04', '10.02']
albuquerque: ['42.63', '51.69', '5.68']
meant: ['0.96', '99.03', '0.00']
nest: ['62.19', '0.00', '37.81']
restriction: ['0.00', '99.95', '0.04']
jump: ['1.21', '4.02', '94.77']
harmful: ['92.82', '7.18', '0.00']
volumes: ['93.71', '0.00', '6.29']
explore: ['98.58', '0.34', '1.08']
cabinet: ['89.04', '6.46', '4.50']
quantitative: ['3.00', '96.99', '0.00']
carb: ['11.81', '87.03', '1.17']
imperial: ['0.53', '99.21', '0.26']
brothers: ['54.94', '38.36', '6.70']
driven: ['100.00', '0.00', '0.00']
ask: ['0.04', '99.96', '0.00']
treasures: ['7.52', '80.14', '12.34']
purchasing: ['99.99', '0.01', '0.00']
believe: ['26.49', '71.45', '2.05']
offset: ['87.62', '12.38', '0.00']
brakes: ['0.91', '99.06', '0.03']
explains: ['93.87', '0.36', '5.77']
learning: ['1.52', '79.78', '18.69']
resources: ['7.62', '91.09', '1.29']
chip: ['0.00', '0.34', '99.66']
replaced: ['99.78', '0.22', '0.00']
ships: ['87.67', '0.00', '12.33']
bought: ['96.59', '3.36', '0.05']
